range_start,range_end,AS_number,country_code,AS_description
111.18.88.0,111.18.91.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.18.92.0,111.18.119.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.18.120.0,111.18.123.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.18.124.0,111.18.151.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.18.152.0,111.18.183.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.18.184.0,111.18.225.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.18.226.0,111.19.15.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.19.16.0,111.19.99.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.19.100.0,111.19.143.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.19.144.0,111.19.148.255,140105,CN,CMNET-SNIDC-CN-AP Shaanxi Mobile Communication Company Limited
111.19.149.0,111.19.149.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.19.150.0,111.19.154.255,140105,CN,CMNET-SNIDC-CN-AP Shaanxi Mobile Communication Company Limited
111.19.155.0,111.19.253.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.19.254.0,111.20.3.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.4.0,111.20.15.255,140105,CN,CMNET-SNIDC-CN-AP Shaanxi Mobile Communication Company Limited
111.20.16.0,111.20.18.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.19.0,111.20.31.255,140105,CN,CMNET-SNIDC-CN-AP Shaanxi Mobile Communication Company Limited
111.20.32.0,111.20.48.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
